prefix,size,optimized,unoptimized
is_prime,1048576,129.850597763,131.251123571
is_prime,131072,2.46487517357,2.57216892242
is_prime,524288,34.740976572,34.9697692394
is_prime,65536,0.675656604767,0.69566283226
is_prime,262144,9.21709342003,9.20438156128

blocked,900,4.89717478752,4.88497900963
blocked,1000,6.84803476334,6.76034822464
blocked,1100,8.96449456215,8.95288906097
blocked,1200,12.0329864502,12.0401258469
blocked,1300,15.1162930965,15.074186945
blocked,1400,19.7140235901,19.6380392075

block_test,10000,0.0610300540924,0.0738553524017
block_test,15000,0.186967277527,0.023796749115
block_test,5000,0.0456406593323,0.0500828266144
block_test,12500,0.00439858436584,0.0117638111115
block_test,7500,0.149657201767,0.187012958527

factor,2000000,5.28816184998,5.2843919754
factor,3000000,9.7193444252,9.72789525986
factor,6000000,27.2669054031,27.1055582047
factor,5000000,21.0023384094,20.7577815533
factor,4000000,14.8681618214,14.7766931534

bubble,100000,12.0346159935,12.2907862186
bubble,150000,27.3190901279,27.8876435757
bubble,250000,76.2063493729,77.8831336021
bubble,200000,48.7785624504,49.7925234318
bubble,50000,2.9005194664,2.95931258202

quicksort,100000,2.97708120346,2.9874022007
quicksort,150000,7.12199921608,6.37862296104
quicksort,250000,15.4336246014,15.4011126041
quicksort,200000,10.6663785458,10.6595928192
quicksort,50000,0.886165046692,0.785859251022

kmeans,1000000,0.95779504776,0.966566864649
kmeans,100000,0.106181621552,0.108736515045
kmeans,10000,0.0144220352173,0.0160580158234

permutations,8,0.00303416252136,0.00257325172424
permutations,9,0.008860206604,0.0110536575317
permutations,10,0.0451432228088,0.044248008728
permutations,11,0.42175655365,0.418047142029
permutations,12,5.01956152916,5.00677757263

mandlebrot_seq,1250,4.89701757431,4.36897277832
mandlebrot_seq,1000,2.52720880508,2.22035002708
mandlebrot_seq,2250,12.483533144,13.1724153042
mandlebrot_seq,2000,10.2581772327,10.51498456
mandlebrot_seq,1750,5.95952458382,8.81828742027
mandlebrot_seq,1500,8.33158078194,5.73937726021

fft,1024,20.5667660713,20.2596969604
fft,128,1.96440434456,1.94692215919
fft,8192,204.10084219,200.145817375
fft,4096,95.4741695881,93.7171861649
fft,256,4.334319067,4.28667740822

huffman_priority_queue,1000,0.00839972496033,0.00890026092529
huffman_priority_queue,10000,0.048833990097,0.0476302146912
huffman_priority_queue,100000,0.437624788284,0.437786245346
huffman_priority_queue,100,0.00242247581482,0.00195593833923
huffman_priority_queue,1000000,4.37172641754,4.34183521271

huffman,1000,0.0225373506546,0.0228173971176
huffman,10000,0.186973786354,0.186022090912
huffman,100000,1.81573426723,1.81417071819
huffman,100,0.00737333297729,0.00563426017761
huffman,1000000,18.163692522,18.1433251143

combinations,16,33.9134081841,29.9370131969
combinations,17,136.814423323,119.868881083
combinations,13,0.524474573135,0.4634288311
combinations,14,2.09801101685,1.856498909
combinations,15,8.41766681671,7.3695795536

conjugate_transpose,1024,0.00109124183655,0.00114321708679
conjugate_transpose,16,0.00113139152527,0.00104837417603
conjugate_transpose,2048,0.000878190994263,0.00119423866272
conjugate_transpose,512,0.00124144554138,0.00109720230103

cholesky,1310720,236.289904022,225.26382761
cholesky,262144,37.2289428711,51.5075454712
cholesky,65536,12.4030240059,14.5075653553
cholesky,786432,148.294644833,143.070849419
cholesky,524288,108.563916779,97.4767159939

deconvolution,1024,1.21861262321,1.256985569
deconvolution,2048,2.64576478004,2.70129423141
deconvolution,256,0.289031791687,0.292125797272
deconvolution,512,0.581636190414,0.635913801193

euler_method,131072,0.00106062889099,0.00109696388245
euler_method,16384,0.00154280662537,0.00140042304993
euler_method,65536,0.00131034851074,0.00125861167908
euler_method,98304,0.00142302513123,0.0014497756958
euler_method,32768,0.00134954452515,0.00137319564819

nbody,10000000,0.000898742675781,0.00104222297668
nbody,20000000,0.00111150741577,0.00114717483521
nbody,30000000,0.001265001297,0.00128359794617
nbody,40000000,0.000976228713989,0.00100984573364
nbody,50000000,0.00110549926758,0.0010106086731

lucas,100000,6.21004104614,6.21131339073
lucas,125000,9.49284920692,9.49571824074
lucas,175000,18.0370126247,18.0068306446
lucas,150000,13.451084137,13.4354918003
lucas,75000,3.57314305305,3.58299994469

aes,1000000,1.65449280739,1.67430100441
aes,1250000,2.07047543526,2.0888874054
aes,250000,0.415571975708,0.423459196091
aes,750000,1.2422208786,1.25586895943
aes,500000,0.833983230591,0.83683719635

